Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price_x,Total_Cost,Company_Name,Company_Profit,Address,Product_Name,Product_Price_y
2.0,29.0,19.0,16.0,2021-02-21,97930.9933803618,1428000.0,Sky  Industries  29,61952.0,"Edsa, brgy. 606, makati, philippines!",EcoNomix Modeler,"?95,200"
5.0,47.0,3.0,8.0,2021-02-21,99575.60963363378,705600.0,Green  Industries  47,31130.0,"Taft Ave, Barangay 707, Mandaluyong, Philippines",TrendWise Forecaster,"?100,800"
6.0,80.0,11.0,4.0,2021-07-12,160658.67535045007,627200.0,Green  Partners  80,111227.0,"Commonwealth Ave, Barangay 202, Manila, Philippines",OptiFlow Automation,"?156,800"
8.0,21.0,20.0,7.0,2021-02-21,229217.9414680993,1792000.0,Dynamic Enterprises 21,,"Ortigas Ave, Barangay 707, Davao City, Philippines",FinSphere Intelligence Suite,"?224,000"
10.0,3.0,20.0,6.0,2021-02-21,238293.8513034097,1120000.0,Quantum Associates 3,110664.0,"Roxas Blvd, Barangay 505, Pasig, Philippines",FinSphere Intelligence Suite,"?224,000"
11.0,6.0,16.0,6.0,2021-02-21,98263.85040103912,532000.0,,,,,
14.0,36.0,1.0,4.0,2021-02-21,141186.03640865185,560000.0,,,,FinPredictor Suite,"?140,000"
15.0,66.0,12.0,17.0,2021-02-21,79380.52059221058,1428000.0,Sky Ent.s 66,99381.0,"SLEX, Barangay 202, Parañaque, Philippines",BudgetMaster Pro,"?84,000"
17.0,27.0,12.0,16.0,2021-02-21,85093.63619248601,1428000.0,Elite Corp 27,45064.0,"SLEX, Brgy. 606, Pasig, Philippines",BudgetMaster Pro,"?84,000"
19.0,76.0,3.0,19.0,2021-02-21,106544.97925907635,1814400.0,Tech Ventures 76,,"Commonwealth Ave, Barangay 202, Cebu City, Philippines",TrendWise Forecaster,"?100,800"
24.0,70.0,1.0,19.0,2021-05-03,145162.09735915158,2660000.0,Prime Network 70,62252.0,"Alabang-Zapote Rd, Barangay 456, Baguio, Philippines",FinPredictor Suite,"?140,000"
25.0,79.0,19.0,3.0,2021-02-21,102391.22712875452,190400.0,Sky Ventures 79,83106.0,"Alabang-Zapote Rd, Barangay 505, Parañaque, Philippines",EcoNomix Modeler,"?95,200"
28.0,3.0,19.0,10.0,2021-02-21,103377.92636864162,952000.0,Quantum Associates 3,110664.0,"Roxas Blvd, Barangay 505, Pasig, Philippines",EcoNomix Modeler,"?95,200"
30.0,100.0,9.0,10.0,2021-02-21,107914.37933409296,1232000.0,Global Solutions 100,,"Ayala avenue, barangay 456, taguig, philippines",Product 9,"?112,000"
31.0,16.0,16.0,20.0,2021-02-21,109347.01750389877,2021600.0,Green  Corp  16,67696.0,"Shaw Blvd, Barangay 707, Taguig, Philippines!",,
33.0,8.0,20.0,10.0,2021-02-21,241093.1443694232,2016000.0,,,,FinSphere Intelligence Suite,"?224,000"
34.0,92.0,8.0,11.0,2024-02-27,141578.710505847,1814400.0,Innovative  Corp  92,62959.0,"Taft ave, barangay 202, baguio, philippines",,
38.0,67.0,2.0,13.0,2024-08-05,184039.0226478925,2016000.0,Quantum Associates 67,74653.0,"Shaw Blvd, Barangay 202, Manila, Philippines",MarketMinder Analytics,"?168,000"
39.0,20.0,1.0,12.0,2024-05-22,148830.09486159886,1820000.0,Pioneer Consulting 20,112720.0,"Ortigas ave, barangay 789, parañaque, philippines",FinPredictor Suite,"?140,000"
40.0,50.0,11.0,19.0,2021-02-21,160414.89053533183,3136000.0,Sky Associates 50,32118.0,"Alabang-Zapote Rd, Brgy. 303, Baguio, Philippines",OptiFlow Automation,"?156,800"
41.0,60.0,11.0,15.0,2021-02-21,151951.20178657523,2352000.0,Global Ventures 60,113443.0,"Katipunan ave, barangay 101, parañaque, philippines",OptiFlow Automation,"?156,800"
43.0,91.0,6.0,13.0,2022-10-31,187921.9707563237,2150400.0,Tech Industries 91,117123.0,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines",RevenueVue Dashboard,"?179,200"
45.0,36.0,9.0,10.0,2024-08-26,116233.10484205802,1008000.0,,,,Product 9,"?112,000"
47.0,50.0,18.0,11.0,2024-03-14,141498.8995613937,1478400.0,Sky Associates 50,32118.0,"Alabang-Zapote Rd, Brgy. 303, Baguio, Philippines",DashSync Analytics Hub,"?134,400"
